Price,Close,High,Low,Open,Volume,Adj Close,Daily_Return,Log_Return,Rolling_Volatility,Rolling_Mean
Ticker,BND,BND,BND,BND,BND,,,,,
Date,,,,,,,,,,
2015-12-24,61.54290771484375,61.56575687370631,61.46673610386447,61.504821909354106,1361700,61.54290771484375,0.0007430622862858449,0.0007427863521875486,0.00224810699641073,61.56650835673015
2015-12-28,61.54290771484375,61.60383686811792,61.47435442717801,61.47435442717801,1580600,61.54290771484375,0.0,0.0,0.0022481987991705044,61.57300224304199
2015-12-29,61.352455139160156,61.48955582482042,61.32198767444958,61.48955582482042,2586600,61.352455139160156,-0.0030946307666521733,-0.0030994290382528426,0.002296727900994127,61.56935793558757
2015-12-30,61.39054489135742,61.42863068108145,61.29152997358082,61.337228272389154,2367200,61.39054489135742,0.0006208350115879391,0.0006206423732590882,0.00230005184272325,61.56698328653972
2015-12-31,61.512428283691406,61.550508270705855,61.4210258549183,61.48957912926736,2419700,61.512428283691406,0.0019853772685953786,0.001983409011870263,0.0023205564734539484,61.56639760335286
2016-01-04,61.481964111328125,61.64191401196871,61.46672746684203,61.53528074487498,2750500,61.481964111328125,-0.0004952523126348085,-0.0004953749905674189,0.0023205794665463937,61.565805689493814
2016-01-05,61.558128356933594,61.61906331119553,61.46672592554068,61.51243004677568,1513600,61.558128356933594,0.001238806318346608,0.0012380396309189172,0.00231832875491349,61.564975357055665
2016-01-06,61.83233642578125,61.83233642578125,61.68000483497868,61.71808482714047,2391100,61.83233642578125,0.004454457537397927,0.004444565805410166,0.002456608674364175,61.57378883361817
2016-01-07,61.839942932128906,61.84755544246003,61.67237472761877,61.7866263044281,2792900,61.839942932128906,0.00012301825852545356,0.00012301069239999626,0.0024562481125153194,61.582098388671874
2016-01-08,61.916107177734375,61.93895633031437,61.77138812995918,61.80185560375798,1405100,61.916107177734375,0.0012316351211556498,0.0012308772808111833,0.0024640866365092094,61.5921885172526
2016-01-11,61.657127380371094,61.81708304677984,61.657127380371094,61.77899725743003,2146900,61.657127380371094,-0.0041827532312369575,-0.004191525413327678,0.0025889323197276766,61.59339370727539
2016-01-12,61.81712341308594,61.94660588370585,61.69525345644646,61.7561884347662,1645300,61.81712341308594,0.0025949316731512795,0.0025915706511165423,0.002630216885080508,61.59892234802246
2016-01-13,61.969425201416016,62.03797266070162,61.81709364006363,61.84755530347285,2887800,61.969425201416016,0.0024637475819173638,0.0024607175316758304,0.002662715860566062,61.61053746541341
2016-01-14,61.89326095581055,62.053210842520585,61.8627934805691,61.95419009521671,4545800,61.89326095581055,-0.001229061676107479,-0.0012298175918508435,0.0025856453772432086,61.6118403116862
2016-01-15,61.99989318847656,62.09128980161297,61.969425713738886,62.076058969782444,1773900,61.99989318847656,0.001722840758740185,0.0017213583709680266,0.0025924724251546946,61.61923052469889
2016-01-19,61.92369079589844,61.999856532172686,61.87037419939914,61.999856532172686,3856700,61.92369079589844,-0.001229072965440059,-0.001229828895075848,0.0021449200166814572,61.64002952575684
2016-01-20,61.992271423339844,62.159839619550304,61.92372396729536,62.0989046734599,7796900,61.992271423339844,0.001107502258989257,0.0011068894307930967,0.0020392648133588996,61.65501391092936
2016-01-21,61.95417404174805,62.12174220661762,61.94656153321777,62.09889305887636,3062600,61.95417404174805,-0.0006145505031043275,-0.0006147394166666752,0.002025308173610804,61.665183512369794
2016-01-22,61.931358337402344,61.946594984841234,61.847574209723504,61.93897666112179,3004100,61.931358337402344,-0.0003682674282822207,-0.00036833525538444034,0.0020275810028225205,61.67408701578776
2016-01-25,61.931358337402344,62.02276078880063,61.92374582476125,61.999911628720646,2164700,61.931358337402344,0.0,0.0,0.0020254633707272535,61.683749771118165
2016-01-26,62.02275466918945,62.053222149982744,61.93897054977735,62.0075238343317,2659100,62.02275466918945,0.0014757682414969775,0.0014746803657158347,0.0020387966873419397,61.69671058654785
2016-01-27,62.02275466918945,62.07607130780826,61.88565391115854,61.96181970760288,1734400,62.02275466918945,0.0,0.0,0.0019835745428430523,61.70410385131836
2016-01-28,62.06843185424805,62.09889932466898,61.977035254061036,62.007502724481974,1487600,62.06843185424805,0.0007364585030480431,0.0007361874505557982,0.0017670596419443736,61.72263946533203
2016-01-29,62.25127410888672,62.30459076141407,62.19033913140423,62.274123272672824,3634300,62.25127410888672,0.002945817208142687,0.002941486790958003,0.0018099391631662806,61.7495480855306
2016-02-01,62.12453079223633,62.30771981778776,62.078734991717006,62.223756967852914,2255300,62.12453079223633,-0.0020359955432992516,-0.002038070999784004,0.0018447258660756936,61.774509811401366
2016-02-02,62.33824920654297,62.376416254069014,62.26955550916469,62.33824920654297,2554600,62.33824920654297,0.0034401614238566136,0.0034342576047314962,0.0019023917254158873,61.80229276021321
2016-02-03,62.384090423583984,62.536747063631985,62.254325873717896,62.33066001721943,3238200,62.384090423583984,0.0007353626004018565,0.0007350923538028672,0.0018737760648447528,61.82704658508301
2016-02-04,62.42986297607422,62.483293362519085,62.3535346845066,62.39169591855273,1179000,62.42986297607422,0.0007337215655376372,0.0007334525234630411,0.0018526524691910129,61.855605061848955
2016-02-05,62.3687858581543,62.437485383608816,62.284823006751125,62.36115128344286,2360200,62.3687858581543,-0.0009783317631711919,-0.0009788106420510298,0.0018411010433873332,61.884911727905276
2016-02-08,62.63592529296875,62.69699023157863,62.47563419672263,62.529064562138004,2519500,62.63592529296875,0.004283223268479297,0.004274076377179099,0.001966116322143344,61.92286885579427
2016-02-09,62.62832260131836,62.75808128224887,62.567257637300884,62.75044670587781,2354500,62.62832260131836,-0.00012137909059106722,-0.00012138645762902585,0.0019704835766005133,61.95904935201009
2016-02-10,62.75809097290039,62.76572555045033,62.529100234213516,62.66649351273036,2553900,62.75809097290039,0.0020720397128966006,0.002069895999339686,0.0019855346585800266,61.99955546061198
2016-02-11,62.79624557495117,63.03287086617223,62.758084338188645,62.97180589918126,1887700,62.79624557495117,0.0006079630763029531,0.0006077783416226634,0.001855298919375472,62.04768180847168
2016-02-12,62.59016799926758,62.742824616216595,62.50620511290263,62.712297951608114,1474600,62.59016799926758,-0.0032816862504563282,-0.0032870827925192375,0.0019979741586772077,62.08766924540202
2016-02-16,62.49853515625,62.536702200620226,62.43747603812033,62.506169729818716,1488800,62.49853515625,-0.0014640133737722216,-0.001465086088458444,0.0020174679061853483,62.1205394744873
